8,1,62
9,1,41
10,1,71
11,1,43
12,1,52
7,1,36
5,1,1
4,1,10
3,1,3
2,1,5
1,1,3
7,7,30
7,8,9
7,9,15
7,11,10
8,7,20
8,8,8
8,10,10
9,9,10
9,10,10
9,8,17
9,6,7
9,4,4
10,8,10
10,10,2
10,9,1
10,12,12
11,2,20
11,7,5
11,8,14
11,10,8
11,11,10
12,2,18
12,9,4
12,10,3
12,11,12
12,12,11
1,2,2
1,3,1
1,4,1
1,6,1
1,7,2
1,8,2
1,9,1
1,10,1
1,11,1
1,12,1
2,2,3
2,3,1
2,6,1
2,10,1
2,11,1
2,12,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,12,1
4,2,8
4,3,2
4,4,1
4,5,2
4,6,1
4,7,3
4,9,2
4,10,2
4,12,2
5,7,1
6,2,2
10,7,4
9,5,8
9,3,3
